User,Route,rte_name,rte_num,Begin,End,Time,DateTime,DateTime,Matatu_Size,Weather,Traffic,Peak,Cost
user1,70601000211,Ndenderu,107,0001RLW,0700GCP,8:00:00 AM,06-01-2016 8:00 AM,06-01-2016 8:00 AM,1,0,0,0,20
user2,70200000811,Ndenderu,107,0500NHS,0701EQY,9:00:00 AM,06-01-2016 9:00 AM,06-01-2016 8:00 AM,2,0,1,0,30
user3,70400011111,Ndenderu,107,0001RLW,0700HKA,10:00:00 AM,06-01-2016 10:00 AM,06-01-2016 9:00 AM,3,0,0,1,40
user4,70600010211,Ndenderu,107,0001RLW,0700MTM,11:00:00 AM,06-01-2016 11:00 AM,06-01-2016 10:00 AM,1,1,1,0,50
user7,70601000211,Ndenderu,107,0001RLW,0700MTM,2:00:00 PM,06-01-2016 2:00 PM,06-01-2016 1:00 PM,1,0,0,0,80
user8,70200000811,Ndenderu,107,0501KPU,0701KBG,3:00:00 PM,06-01-2016 3:00 PM,06-01-2016 2:00 PM,2,1,1,1,90
user9,70400011111,Ndenderu,107,0001RLW,0701KAJ,4:00:00 PM,06-01-2016 4:00 PM,06-01-2016 3:00 PM,3,0,0,0,100
user10,70600010211,Ndenderu,107,0501KPU,0700BMY,5:00:00 PM,06-01-2016 5:00 PM,06-01-2016 4:00 PM,1,0,1,1,110
user13,70601000211,Ndenderu,107,0001RLW,0701BPP,8:00:00 PM,06-01-2016 8:00 PM,06-01-2016 7:00 PM,1,0,0,1,20
user14,70200000811,Ndenderu,107,0501RLW,0701NSC,9:00:00 PM,06-01-2016 9:00 PM,06-01-2016 8:00 PM,2,0,1,0,30
user15,70400011111,Ndenderu,107,0701HKA,0701SHT,10:00:00 PM,06-01-2016 10:00 PM,06-01-2016 9:00 PM,3,0,0,1,40
user16,70600010211,Ndenderu,107,0510AGI,0701DCR,11:00:00 PM,06-01-2016 11:00 PM,06-01-2016 10:00 PM,1,1,1,0,50
user19,70601000211,Ndenderu,107,0500NHS,0711SGO,2:00:00 AM,06-01-2016 2:00 AM,06-01-2016 1:00 AM,1,0,0,0,80
user20,70200000811,Ndenderu,107,0611NHS,0700KRA,3:00:00 AM,06-01-2016 3:00 AM,06-01-2016 2:00 AM,2,1,1,1,90
user1,70400011111,Ndenderu,107,0701GRG,0711LNN,4:00:00 AM,06-01-2016 4:00 AM,06-01-2016 3:00 AM,3,0,0,0,100
user2,70600010211,Ndenderu,107,0700BPS,0710UKT,5:00:00 AM,06-01-2016 5:00 AM,06-01-2016 4:00 AM,1,0,1,0,110
user5,70601000211,Ndenderu,107,0501KPU,0700AMD,8:00:00 AM,06-01-2016 8:00 AM,06-01-2016 7:00 AM,1,0,0,1,20
user6,70200000811,Ndenderu,107,0501KPU,0700NHF,9:00:00 AM,06-01-2016 9:00 AM,06-01-2016 8:00 AM,2,0,1,0,30
user7,70400011111,Ndenderu,107,0701GRG,0710WWD,10:00:00 AM,06-01-2016 10:00 AM,06-01-2016 9:00 AM,3,0,0,0,40
user8,70600010211,Ndenderu,107,0700BPS,0700WTA,11:00:00 AM,06-01-2016 11:00 AM,06-01-2016 10:00 AM,1,1,1,1,50
user11,70601000211,Ndenderu,107,0700AMD,0701BPP,2:00:00 PM,06-01-2016 2:00 PM,06-01-2016 1:00 PM,1,0,0,0,80
user12,70200000811,Ndenderu,107,0700MOG,0701NSC,3:00:00 PM,06-01-2016 3:00 PM,06-01-2016 2:00 PM,2,1,1,0,90
user13,70400011111,Ndenderu,107,0701HKA,0701RCE,4:00:00 PM,06-01-2016 4:00 PM,06-01-2016 3:00 PM,3,0,0,1,100
user14,70600010211,Ndenderu,107,0700BPS,0710KYJ,5:00:00 PM,06-01-2016 5:00 PM,06-01-2016 4:00 PM,1,0,1,0,110
user17,70601000211,Ndenderu,107,0700AIC,0711RSS,8:00:00 PM,06-01-2016 8:00 PM,06-01-2016 7:00 PM,1,0,0,0,20
user18,70200000811,Ndenderu,107,0700KRA,0701ROS,9:00:00 PM,06-01-2016 9:00 PM,06-01-2016 8:00 PM,2,0,1,1,30
user19,70400011111,Ndenderu,107,0001RLW,0700HKA,10:00:00 PM,06-01-2016 10:00 PM,06-01-2016 9:00 PM,3,0,0,0,40
user20,70600010211,Ndenderu,107,0700KEQ,0711DRC,11:00:00 PM,06-01-2016 11:00 PM,06-01-2016 10:00 PM,1,1,1,1,50
user3,70601000211,Ndenderu,107,0700KEQ,0711KNG,2:00:00 AM,06-01-2016 2:00 AM,06-01-2016 1:00 AM,1,0,0,1,80
user4,70200000811,Ndenderu,107,0700NHF,0710CCT,3:00:00 AM,06-01-2016 3:00 AM,06-01-2016 2:00 AM,2,1,1,0,90
user5,70400011111,Ndenderu,107,0500KNH,0700MAU,4:00:00 AM,06-01-2016 4:00 AM,06-01-2016 3:00 AM,3,0,0,1,100
user6,70600010211,Ndenderu,107,0700KEQ,0701DNL,5:00:00 AM,06-01-2016 5:00 AM,06-01-2016 4:00 AM,1,0,1,0,110
user9,70601000211,Ndenderu,107,0700MSK,0700TBK,8:00:00 AM,06-01-2016 8:00 AM,06-01-2016 7:00 AM,1,0,0,0,20
user10,70200000811,Ndenderu,107,0700TON,0701SSR,9:00:00 AM,06-01-2016 9:00 AM,06-01-2016 8:00 AM,2,0,1,1,30
user11,70400011111,Ndenderu,107,0500KNH,0500NHS,10:00:00 AM,06-01-2016 10:00 AM,06-01-2016 9:00 AM,3,0,0,0,40
user12,70600010211,Ndenderu,107,0700KRR,0700MSK,11:00:00 AM,06-01-2016 11:00 AM,06-01-2016 10:00 AM,1,1,1,0,50
user15,70601000211,Ndenderu,107,0700MTM,0711SGO,2:00:00 PM,06-01-2016 2:00 PM,06-01-2016 1:00 PM,1,0,0,1,80
user16,70200000811,Ndenderu,107,0701EQY,0701NSC,3:00:00 PM,06-01-2016 3:00 PM,06-01-2016 2:00 PM,2,1,1,0,90
user17,70400011111,Ndenderu,107,0500KNH,0710KES,4:00:00 PM,06-01-2016 4:00 PM,06-01-2016 3:00 PM,3,0,0,0,100
user18,70600010211,Ndenderu,107,0700MRT,0710ADC,5:00:00 PM,06-01-2016 5:00 PM,06-01-2016 4:00 PM,1,0,1,1,110
user1,70601000211,Ndenderu,107,0700NHF,0700NPS,8:00:00 PM,06-01-2016 8:00 PM,06-01-2016 7:00 PM,1,0,0,0,20
user2,70200000811,Ndenderu,107,0700TON,0701NSC,9:00:00 PM,06-01-2016 9:00 PM,06-01-2016 8:00 PM,2,0,1,0,30
user3,70400011111,Ndenderu,107,0500NHS,0700KEO,10:00:00 PM,06-01-2016 10:00 PM,06-01-2016 9:00 PM,3,0,0,1,40
user4,70600010211,Ndenderu,107,0700KRR,0711RSS,11:00:00 PM,06-01-2016 11:00 PM,06-01-2016 10:00 PM,1,1,1,0,50
user7,70601000211,Ndenderu,107,0700AMD,0701BPP,2:00:00 AM,06-01-2016 2:00 AM,06-01-2016 1:00 AM,1,0,0,0,80
user8,70200000811,Ndenderu,107,0700TON,0701KAR,3:00:00 AM,06-01-2016 3:00 AM,06-01-2016 2:00 AM,2,1,1,1,90
user9,70400011111,Ndenderu,107,0701GRG,0711LNN,4:00:00 AM,06-01-2016 4:00 AM,06-01-2016 3:00 AM,3,0,0,0,100
user10,70600010211,Ndenderu,107,0700MTM,0710TTL,5:00:00 AM,06-01-2016 5:00 AM,06-01-2016 4:00 AM,1,0,1,1,110
user13,70601000211,Ndenderu,107,0701BPP,0710DMK,8:00:00 AM,06-01-2016 8:00 AM,06-01-2016 7:00 AM,1,0,0,1,20
user14,70200000811,Ndenderu,107,0701KAR,0701NSC,9:00:00 AM,06-01-2016 9:00 AM,06-01-2016 8:00 AM,2,0,1,0,30
user15,70400011111,Ndenderu,107,0701HKA,0701SHT,10:00:00 AM,06-01-2016 10:00 AM,06-01-2016 9:00 AM,3,0,0,1,40
user16,70600010211,Ndenderu,107,0700MTM,0711MTL,11:00:00 AM,06-01-2016 11:00 AM,06-01-2016 10:00 AM,1,1,1,0,50
user19,70601000211,Ndenderu,107,0700KEQ,0711KNG,2:00:00 PM,06-01-2016 2:00 PM,06-01-2016 1:00 PM,1,0,0,0,80
user20,70200000811,Ndenderu,107,0701MKA,0710CCT,3:00:00 PM,06-01-2016 3:00 PM,06-01-2016 2:00 PM,2,1,1,1,90
user1,70400011111,Ndenderu,107,0500NHS,0700KEO,4:00:00 PM,06-01-2016 4:00 PM,06-01-2016 3:00 PM,3,0,0,0,100
user2,70600010211,Ndenderu,107,0700RCR,0701GGS,5:00:00 PM,06-01-2016 5:00 PM,06-01-2016 4:00 PM,1,0,1,0,110
user5,70601000211,Ndenderu,107,0701BPP,0710TTL,8:00:00 PM,06-01-2016 8:00 PM,06-01-2016 7:00 PM,1,0,0,1,20
user6,70200000811,Ndenderu,107,0701NJR,0710CME,9:00:00 PM,06-01-2016 9:00 PM,06-01-2016 8:00 PM,2,0,1,0,30
user7,70400011111,Ndenderu,107,0501KPU,0510AGP,10:00:00 PM,06-01-2016 10:00 PM,06-01-2016 9:00 PM,3,0,0,0,40
user8,70600010211,Ndenderu,107,0700PBG,0711DRC,11:00:00 PM,06-01-2016 11:00 PM,06-01-2016 10:00 PM,1,1,1,1,50
user11,70601000211,Ndenderu,107,0701WTK,0710ADC,2:00:00 AM,06-01-2016 2:00 AM,06-01-2016 1:00 AM,1,0,0,0,80
user12,70200000811,Ndenderu,107,0701PKA,0710AGH,3:00:00 AM,06-01-2016 3:00 AM,06-01-2016 2:00 AM,2,1,1,0,90
user13,70400011111,Ndenderu,107,0501KPU,0700KSS,4:00:00 AM,06-01-2016 4:00 AM,06-01-2016 3:00 AM,3,0,0,1,100
user14,70600010211,Ndenderu,107,0700KEQ,0701DNL,5:00:00 AM,06-01-2016 5:00 AM,06-01-2016 4:00 AM,1,0,1,0,110
user17,70601000211,Ndenderu,107,0701WTK,0710IMJ,8:00:00 AM,06-01-2016 8:00 AM,06-01-2016 7:00 AM,1,0,0,0,20
user18,70200000811,Ndenderu,107,0701UCN,0710CME,9:00:00 AM,06-01-2016 9:00 AM,06-01-2016 8:00 AM,2,0,1,1,30
user19,70400011111,Ndenderu,107,0501RLW,0700TLF,10:00:00 AM,06-01-2016 10:00 AM,06-01-2016 9:00 AM,3,0,0,0,40
user20,70600010211,Ndenderu,107,0700BPS,0710UKT,11:00:00 AM,06-01-2016 11:00 AM,06-01-2016 10:00 AM,1,1,1,1,50
user7,0,UoN,45,0210DRV,0211MAT,1:00:00 AM,06-01-2016 1:00 AM,06-01-2016 11:00 AM,2,1,1,0,20
user8,0,UoN,107,0701WTK,0710ADC,2:00:00 AM,06-01-2016 2:00 AM,06-01-2016 1:00 AM,3,0,0,1,30
user9,0,UoN,107,0701PKA,0710AGH,3:00:00 AM,06-01-2016 3:00 AM,06-01-2016 2:00 AM,1,0,1,0,50
user10,0,UoN,107,0501KPU,0700KSS,4:00:00 AM,06-01-2016 4:00 AM,06-01-2016 3:00 AM,2,0,0,1,60
user11,0,UoN,107,0700KEQ,0701DNL,5:00:00 AM,06-01-2016 5:00 AM,06-01-2016 4:00 AM,3,1,1,0,10
user12,0,UoN,45,0310PGG,0311PGP,6:00:00 AM,06-01-2016 6:00 AM,06-01-2016 5:00 AM,1,0,0,0,60
user13,0,UoN,45,0210ALS,0211MAT,7:00:00 AM,06-01-2016 7:00 AM,06-01-2016 6:00 AM,2,0,1,1,60
user14,0,UoN,107,0701WTK,0710IMJ,8:00:00 AM,06-01-2016 8:00 AM,06-01-2016 7:00 AM,3,0,0,0,90
user15,0,UoN,107,0701UCN,0710CME,9:00:00 AM,06-01-2016 9:00 AM,06-01-2016 8:00 AM,1,1,1,1,110
user16,0,UoN,107,0501RLW,0700TLF,10:00:00 AM,06-01-2016 10:00 AM,06-01-2016 9:00 AM,2,1,1,0,140
user17,0,UoN,107,0700BPS,0710UKT,11:00:00 AM,06-01-2016 11:00 AM,06-01-2016 10:00 AM,3,0,0,1,90
user18,0,UoN,45,0210DRV,0211MAT,1:00:00 AM,06-01-2016 12:00 PM,06-01-2016 11:00 AM,2,1,1,0,80
user19,0,UoN,107,0701WTK,0710ADC,2:00:00 AM,06-01-2016 1:00 PM,06-01-2016 12:00 PM,3,0,0,1,50
user20,0,UoN,107,0701PKA,0710AGH,3:00:00 AM,06-01-2016 2:00 PM,06-01-2016 1:00 PM,1,0,1,0,60
user1,0,UoN,107,0501KPU,0700KSS,4:00:00 AM,06-01-2016 3:00 PM,06-01-2016 2:00 PM,2,0,0,1,60
user2,0,UoN,107,0700KEQ,0701DNL,5:00:00 AM,06-01-2016 4:00 PM,06-01-2016 3:00 PM,3,1,1,0,70
user3,0,UoN,45,0310PGG,0311PGP,6:00:00 AM,06-01-2016 5:00 PM,06-01-2016 4:00 PM,1,0,0,0,80
user4,0,UoN,45,0210ALS,0211MAT,7:00:00 AM,06-01-2016 6:00 PM,06-01-2016 5:00 PM,2,0,1,1,90
user5,0,UoN,107,0701WTK,0710IMJ,8:00:00 AM,06-01-2016 7:00 PM,06-01-2016 6:00 PM,3,0,0,0,100
user6,0,UoN,107,0701UCN,0710CME,9:00:00 AM,06-01-2016 8:00 PM,06-01-2016 7:00 PM,1,1,1,1,30
user7,0,UoN,107,0501RLW,0700TLF,10:00:00 AM,06-01-2016 9:00 PM,06-01-2016 8:00 PM,2,1,1,0,40
user8,0,UoN,107,0700BPS,0710UKT,11:00:00 AM,06-01-2016 10:00 PM,06-01-2016 9:00 PM,3,0,0,1,30
user9,0,UoN,107,0701UCN,0710CME,9:00:00 AM,06-01-2016 11:00 PM,06-01-2016 10:00 PM,1,1,1,1,30
user10,0,UoN,107,0501RLW,0700TLF,10:00:00 AM,06-02-2016 12:00 AM,06-01-2016 11:00 PM,2,1,1,0,40
user11,0,UoN,107,0700BPS,0710UKT,11:00:00 AM,06-02-2016 1:00 AM,06-02-2016 12:00 AM,3,0,0,1,30
user12,0,UoN,45,0210DRV,0211MAT,1:00:00 AM,06-02-2016 2:00 AM,06-02-2016 1:00 AM,2,1,1,0,20
user13,0,UoN,107,0701WTK,0710ADC,2:00:00 AM,06-02-2016 3:00 AM,06-02-2016 2:00 AM,3,0,0,1,30
user14,0,UoN,107,0701PKA,0710AGH,3:00:00 AM,06-02-2016 4:00 AM,06-02-2016 3:00 AM,1,0,1,0,50
